kata,bobot
iso,-0.19820427898344875
komplen,-0.19789630518236784
kampung,-0.19777583802990617
bot,-0.19775472014533935
susah aplikasi,-0.1975551111373307
eror suka,-0.19737577673088902
niat bantu,-0.19728628038998453
gbs,-0.1971313798312605
waktu buka,-0.1967167547339119
inti,-0.1965816935952427
kenceng,-0.1965307029734384
padhal,-0.19629995198003278
mana,-0.19566946264055307
chapta,-0.19560675773478314
nak,-0.1954601905451771
fasilitas sulit,-0.19541997973409334
nyusahin warga,-0.1954117192120674
muat buka,-0.19524390085711715
laden down,-0.19510642119475016
pass,-0.19506092325665447
daftar fasilitas,-0.19487068464026475
niat mudah,-0.19479215390945467
uda,-0.19453822734113077
betulin,-0.19410298347963384
ribet pakai,-0.1940613766954713
gajelas aplikasi,-0.19405865237516792
brengsek,-0.19383820061056603
bad,-0.19383009448635374
pagi siang,-0.19380006669691513
gimna si,-0.1935919296687935
ea,-0.19350286088809662
blok,-0.19342909839105019
negatif,-0.19308061399106824
juta,-0.19207924771555807
bukti,-0.19177658015441001
koplak,-0.19160554536387983
tu,-0.19134238107602586
ribeeet,-0.19099444924624828
customer,-0.19056952609893327
bikin emosi,-0.19056047011542973
lma,-0.19016159024815718
tindak lanjut,-0.1897398909152742
nyambung,-0.18962626244468397
ngikutin,-0.18960160724395578
aplikasi suka,-0.18952874138564002
riwayat,-0.18950443293774988
ujung kantor,-0.1893619663424448
ulang data,-0.18925102415158174
sandi masukin,-0.18906754839625295
loguot,-0.18905275941765565
muncul muncul,-0.1886141911855377
masukk,-0.18860099112664108
face,-0.18852554633166713
hapus pasang,-0.18818860882119917
oon,-0.18815509128195515
ros,-0.1879532439597909
ribet ruwet,-0.18758435473130347
kasihan,-0.1875802964984018
menit,-0.18756745392058405
orng,-0.1874974680373841
nik nik,-0.18716667775976445
regis,-0.18712238299988068
tikus,-0.18680476883982985
chaptca,-0.18666108388997077
customer service,-0.18639437482282917
ganti sandi,-0.18599811015630566
lot banget,-0.18599341739663922
perbaikin,-0.1858099610784415
ngirim kode,-0.18579240422449395
najis,-0.18565079079417204
rek,-0.18540321708355628
wakil,-0.18536787406463187
setting,-0.18525686312601597
tunda,-0.18514632486076205
online eror,-0.18506437413497784
developer baik,-0.18464440052893416
baru melulu,-0.18453086581236428
birokrasi,-0.18451189703798831
mah,-0.18425365000714639
fitur verifikasi,-0.1839337849761101
mes,-0.18320878529561635
sulit pasien,-0.18279532039197605
sndri,-0.18238240855143822
lempar,-0.18229252760223136
logo,-0.1822247390344696
layak,-0.1821430586139252
ikut,-0.18200694735060202
sms verifikasi,-0.181988884468589
sial,-0.1819167629741297
captchanya muter,-0.1818738215418107
baru ambil,-0.18186292484895697
ngurus,-0.18171953849992525
sm,-0.18158506289576862
ponsel aja,-0.1814852503227677
seringkali,-0.18130004655571352
lola,-0.1812604682715311
via,-0.18089963087090194
doank,-0.18048417940658537
baru sandi,-0.18033583623212984
tindak,-0.1802038752813894
check in,-0.18005215159872795
ribet masuk,-0.18004525465304794
huruf,-0.17954627028660597
buang anggar,-0.17937903328353672
capcta,-0.17861037902015633
haru,-0.17836182743820544
gj,-0.1782836576199586
ganggu mulu,-0.17817916538561096
apaa,-0.17799636722788476
unistal,-0.1778742405433602
verivikasi nomor,-0.17774347588666345
putih doang,-0.17764732346291615
senyum,-0.17733470438406926
asuransi,-0.17719093074019232
ribet aplikasi,-0.1770599892386751
buang buang,-0.17685825459508958
tolong kode,-0.17680454258895603
daftar tolong,-0.17649589934555251
data sesuai,-0.17648340507218227
ngapa,-0.17630479153147596
pas butuh,-0.17628053967358617
angel,-0.17620606399165417
rehab,-0.1760255080259881
zonk,-0.17597009571178598
daftar autodebet,-0.1758713518542046
auto debet,-0.1756464872666931
layan antre,-0.1755885504405063
butuh cepat,-0.1755378668264737
baru buka,-0.1755212491479093
kode verif,-0.17548095573072933
atuh,-0.17539342235179942
antre gagal,-0.17532572003024888
ngerjain,-0.17528747755146692
bangke,-0.1752778602720283
minum,-0.1751091072863069
drama,-0.17501541746287666
mau,-0.174855435391083
maen,-0.1748241287650321
nyesel,-0.17475492973497697
batalin,-0.1743872815196694
hang,-0.17405086405092818
bintang nol,-0.17401580738065134
pasca,-0.17399234485781995
malem,-0.17391123488728064
aplikasih,-0.17390587259946236
gagal bantu,-0.17380295645748087
judol,-0.17363865829337038
nyampe,-0.17349411974536175
swasta,-0.17344635543111347
bulak,-0.1734297935125869
wajah sulit,-0.17325000787080577
scan wajah,-0.1730839547251921
nomor antre,-0.17260257637871465
gajelassss,-0.1725283824127603
ngerepotin,-0.17219027818850252
gede,-0.1720673512894104
barusan,-0.1716255560861118
maaf baik,-0.17145593426198333
off,-0.1714545055729378
fakta,-0.1714389104805103
senin,-0.17107197024262502
tlong baik,-0.1709648499560927
ndk,-0.17078225502433905
alamat email,-0.17065050859095096
yaa,-0.17057919217919318
buang kuota,-0.17041588293332388
wifi bagus,-0.17001582803585027
bikin pusing,-0.16970681449667527
aja gabisa,-0.16959177739682438
pinter,-0.16930431763898107
guna susah,-0.16916816509752752
angin,-0.1690892169980981
aj,-0.16907531096933356
tlp,-0.1690259264545293
apliksi,-0.1689814200078234
lemott,-0.16894764545977328
arah,-0.16883341570472252
kode sms,-0.16881774680007433
gampang eror,-0.16878043688715338
digunain,-0.16874330235074053
ribettt,-0.1686777699461161
mudah eror,-0.16853772289675178
checkin,-0.1684068387813884
tolong ubah,-0.16816738134646825
ngaco,-0.16816432135935194
rekomen,-0.16814081985494306
wajib daftar,-0.1677069715082837
nomor ktp,-0.16757885980221338
eek,-0.16729479032524183
data bocor,-0.1668360010318712
kali coba,-0.16663860312970488
asli,-0.16661757598581395
opt,-0.16652507946307624
lagi,-0.16650263851116348
nik kk,-0.1663780214275719
stiap,-0.16625487006104603
tinggi,-0.16620110925735693
baru baik,-0.16619326026403194
mlebu,-0.16617838059200807
jam layan,-0.1661292610875324
bentar bentar,-0.1659555056025932
diperbaikin,-0.1658503351192785
mo,-0.16554165280555455
februari,-0.16553707783089489
camat,-0.16521231312855839
jantung,-0.16504561617340918
buat mudah,-0.16501077755876195
rongsok,-0.164914737054176
hari coba,-0.16485584683075094
lupa sandi,-0.1645784082394829
updte,-0.16444230467683021
kanapa,-0.16429262096394942
